scenario,step,version,refresh_ms,segments,rss_bytes,active_bytes,retained_bytes
repeated,50,after,66.63108399999999,2,27607040,66019047,87323115
repeated,51,before,79.268167,4,29966336,66921671,535448426
repeated,51,after,65.054666,2,28721152,66019144,87762253
repeated,52,before,73.48837499999999,5,29474816,67361008,537120169
repeated,52,after,68.600958,2,26689536,66019237,88201484
repeated,53,before,78.915542,6,30834688,67800446,538792119
repeated,53,after,57.438083,2,27688960,66019338,88640816
repeated,54,before,74.183583,7,30015488,68240007,540464298
repeated,54,after,67.279791,2,27557888,66019461,89080271
repeated,55,before,80.36270900000001,8,30539776,68679658,542136673
repeated,55,after,59.368167,2,28721152,66019551,89519816
repeated,56,before,855.364708,1,226951168,65604900,607740831
repeated,56,after,68.38633399999999,2,29114368,66019648,89959458
repeated,57,before,80.042625,2,29048832,66044773,609412792
repeated,57,after,58.173375,2,27721728,66019773,90399225
repeated,58,before,75.770416,3,29376512,66484728,611084941
repeated,58,after,65.300833,2,26836992,66019855,90839074
repeated,59,before,79.270708,4,29212672,66924809,612757322
repeated,59,after,59.042083000000005,2,27934720,66019981,91279049
repeated,60,before,77.109208,5,30474240,67364978,614429897
repeated,60,after,67.454541,2,27410432,66020069,91719112
repeated,61,before,79.146208,6,30146560,67805284,616102715
repeated,61,after,59.417125,2,28786688,66020206,92159312
repeated,62,before,75.0165,7,30310400,68245694,617775743
repeated,62,after,68.262958,2,27672576,66020310,92599616
repeated,63,before,80.708833,8,29786112,68686236,619449009
repeated,63,after,64.434458,2,28246016,66020442,93040052
repeated,64,before,864.737542,1,226869248,65605732,685053999
repeated,64,after,70.90854200000001,2,28033024,66020530,93480576
repeated,65,before,80.295166,2,29081600,66046475,686726830
repeated,65,after,59.295583,2,28786688,66020643,93921213
repeated,66,before,74.084958,3,29147136,66487336,688399885
repeated,66,after,67.495666,2,27574272,66020761,94361968
repeated,67,before,81.186875,4,29573120,66928318,690073167
