dataset,query,category,rg_compatible,matching_lines,baseline_ms,optimized_ms,baseline_no_refresh_ms,optimized_no_refresh_ms,rg_ms,baseline_p95_ms,optimized_p95_ms,change_pct,change_bootstrap_95,baseline_rss_mib,optimized_rss_mib,baseline_no_refresh_rss_mib,optimized_no_refresh_rss_mib,rg_rss_mib
vllm,wide_icase_cache,ignore case,True,9166,55.388542,51.382458,40.807708,36.071125,70.580666,56.541375,54.025959,-7.232694444276944,"[-9.019779050367493, -6.505745975284638]",29.5,29.515625,26.84375,27.203125,15.203125
vllm,wide_icase_class_attention,ignore case,True,227,34.211209,34.715416,18.701166,19.776792,67.300125,35.896917,36.806917,1.4738064357795677,"[-0.08096190667514769, 4.4229878216621055]",23.78125,23.796875,21.171875,21.140625,15.203125
vllm,wide_icase_def_forward,ignore case,True,1733,35.33225,34.706375,20.360416,19.653417,68.945708,37.265333,35.980625,-1.7713986513737456,"[-3.1411062720516747, 0.6284127482379498]",28.71875,27.5625,25.875,24.578125,16.046875
vllm,wide_icase_config,ignore case,True,2905,41.233916,35.3625,26.128875,20.769458,69.958916,43.566125,37.229917,-14.23928787166371,"[-16.81688522292768, -13.295823751172332]",28.734375,27.4375,26.1875,24.578125,15.03125
vllm,wide_icase_exceptions,ignore case,True,6725,55.768792,56.309375,41.073625,41.628166,76.518417,59.218459,60.061667,0.9693288676577483,"[-0.23818354773610384, 2.1071425377958697]",30.90625,31.046875,28.09375,28.84375,16.640625
vllm,wide_icase_tensor_creation,ignore case,True,5133,43.8325,40.234459,28.937458,25.018417,73.178083,45.035292,42.517083,-8.208614612445109,"[-9.478010148015558, -5.767991884263868]",30.3125,30.40625,27.40625,28.0,15.3125
vllm,wide_icase_async_def,ignore case,True,1974,31.572708,31.534458,16.578083,17.031458,69.144792,34.107542,33.792416,-0.1211489366068852,"[-1.9781018795353766, 2.6713957953285794]",30.484375,29.78125,27.75,27.1875,16.03125
viberwhisper,word_return,common word,True,268,6.264541,6.274209,4.808959,4.871416,7.39425,7.080666,6.758375,0.15432894445099876,"[-3.05889140208474, 3.582455778241034]",9.9375,10.015625,8.75,8.875,5.96875
viberwhisper,errors,alternation,True,420,6.53075,6.570667,5.113292,5.044417,7.840125,7.115208,7.139583,0.6112161696589125,"[-3.30534954636148, 3.2914020000563537]",10.421875,10.390625,9.421875,9.359375,6.1875
viberwhisper,todo,ignore case,True,1,5.896125,5.947167,4.373375,4.458,7.0745,6.354792,6.464375,0.8656872098200319,"[-1.8181315174216728, 3.876644774109872]",9.65625,9.8125,8.5625,8.65625,5.96875
viberwhisper,short,scan fallback,True,97,6.60575,6.706458,5.193375,5.152333,7.348084,7.06675,7.340667,1.5245505809332816,"[-1.039028786778473, 4.594270915224596]",9.875,9.890625,8.46875,8.46875,5.96875
viberwhisper,digits,scan fallback,True,88,6.874584,6.856125,5.527667,5.556459,8.269209,7.735042,7.600625,-0.2685107927985153,"[-1.6343662827808414, 3.7596845814764634]",10.5625,10.5625,9.375,9.453125,6.453125
viberwhisper,absent,no matches,True,0,5.573166,5.657416,4.173417,4.128459,7.495958,6.000833,5.941375,1.511708066833095,"[-2.023238355058543, 4.603263888671938]",9.09375,9.140625,7.578125,7.578125,5.71875
viberwhisper,literal,fixed string,True,66,6.105792,6.098292,4.810292,4.692375,7.168584,6.785958,6.476708,-0.12283418760417053,"[-3.5861122666584255, 2.863204419889498]",9.671875,9.8125,8.390625,8.484375,5.875
viberwhisper,icase_literal,ignore case,True,318,6.588708,6.896834,5.183708,5.514167,7.577042,7.133833,7.367125,4.67657695560344,"[2.2846738999843685, 7.642381262697895]",11.59375,11.75,10.640625,10.6875,6.1875
viberwhisper,function,function definitions,True,813,6.627542,6.498166,5.116708,5.088292,8.102125,7.536417,7.160209,-1.9520962673642783,"[-4.508941388108745, 0.7398708251566966]",10.078125,10.171875,8.984375,9.0,6.078125
viberwhisper,public,optional group,True,357,6.30825,6.501375,5.0565,5.1075,7.659125,7.15275,7.217209,3.0614671263821114,"[-2.158500518118822, 6.116856593700737]",10.6875,10.703125,9.484375,9.546875,6.140625
viberwhisper,impl,anchor,True,152,6.387584,6.162417,5.031084,4.848792,7.678667,6.887084,6.980583,-3.5250730166523137,"[-6.252772136775708, 0.08679681214458501]",10.296875,10.265625,9.09375,9.28125,5.984375
viberwhisper,use,imports,True,184,6.308709,6.287416,4.765959,4.876917,7.265375,7.118875,7.245125,-0.33751754915308796,"[-3.2659103356544983, 1.7528642891721846]",10.109375,10.28125,8.953125,9.125,5.953125
viberwhisper,derive,escaped punctuation,True,125,5.932625,6.066333,4.512083,4.512667,6.746292,6.523333,6.533083,2.253774678156817,"[-0.9251134986339116, 4.890472005809987]",9.625,9.734375,8.375,8.375,5.875
viberwhisper,unwrap,method call,True,413,6.129458,6.208,4.648875,4.809708,7.358209,6.579667,6.70225,1.2813857277429896,"[-3.5363938422591668, 4.324969818466506]",9.765625,9.921875,8.640625,8.671875,5.859375
viberwhisper,async,whitespace,True,0,6.272083,5.862,4.604291,4.574625,7.132584,6.676625,6.322208,-6.538226614666931,"[-9.19399730298437, -2.736519288956496]",10.515625,10.21875,9.328125,8.890625,6.453125
viberwhisper,common_files,common / files,True,54,6.115875,6.122541,4.663042,4.7515,6.959417,6.781458,6.756083,0.10899503341712524,"[-2.449685708139371, 2.345711832029007]",9.703125,9.8125,8.3125,8.390625,5.921875
agentflow,word_return,common word,True,689,6.306584,6.3585,5.089,5.19475,7.252375,6.832709,7.114167,0.8232031794074279,"[-3.329556312451687, 6.016701881477005]",9.875,10.046875,8.796875,8.890625,6.0625
agentflow,errors,alternation,True,110,6.425875,6.247542,5.000875,4.93125,7.409625,6.86825,6.608334,-2.775232944929673,"[-5.478717762937224, 2.7631695770834686]",10.34375,10.578125,9.234375,9.40625,6.140625
