dataset,query,rg_compatible,baseline_ms,optimized_ms,baseline_no_refresh_ms,optimized_no_refresh_ms,rg_ms,change_pct,baseline_p95_ms,optimized_p95_ms
many_small_16384,ignore_case,True,33.140125,34.141959,15.002584,15.005875,150.389125,3.023024204042679,34.595625,36.242833
many_small_16384,short_files,True,183.032792,180.979833,158.662209,158.800292,238.98475,-1.1216345320241738,192.115917,191.14575
many_small_16384,absent,True,31.628917,31.795709,12.988916,13.14275,150.858958,0.5273402184462928,33.882125,33.807166
few_large_64,rare_files,True,8.034583,6.564292,4.987,5.624,8.481083,-18.299530915294536,9.253041,7.001125
few_large_64,rare_lines,True,8.508625,6.12,5.248542,5.615125,8.573958,-28.072984765458575,9.371833,7.000167
few_large_64,common_files,True,18.31475,15.3775,14.181,14.540084,7.780333,-16.037619951132285,20.095709,16.520166
few_large_64,common_count,True,17.69075,15.372959,14.62575,14.291583,9.865583,-13.101711346325063,18.704833,16.468792
few_large_64,alternation,True,14.039333,11.800166,10.744667,10.61675,10.651916,-15.949240608510385,16.090625,12.577625
few_large_64,ignore_case,True,8.227416,6.897708,5.992333,5.930666,9.059375,-16.161915235597668,9.611541,7.816417
few_large_64,short_files,True,17.767875,14.966333,14.506792,14.543333,7.775041,-15.767456716123895,19.482667,16.221
few_large_64,absent,True,7.593917,5.6525,5.120042,5.173833,8.6415,-25.56542295629516,9.031125,6.440417
