repository,step,commit,current_phase,main_phase,current_ms,no_sync_ms,main_ms,rg_ms,middle_before_update_mib,middle_entering_merge_mib,middle_after_update_mib,base_after_mib,main_middle_after_mib
viberwhisper,27,c6becc366e6cfaee7ac31a1d9a83bfdfe03662a1,incremental,incremental,26.05875,7.984750000000001,7.521624999999999,5.77875,0.6516590118408203,,0.6438131332397461,0.0704498291015625,0.07378959655761719
viberwhisper,28,d2f57924db3a392b3927d72fc4053a1840324eeb,incremental,incremental,28.067,7.911125,7.592542,4.615125,0.6438131332397461,,0.7353048324584961,0.0704498291015625,0.15811824798583984
viberwhisper,29,7eb6ff3cda3bb89e776d064493cdcdd7854cefb5,incremental,incremental,25.495875,7.902125,7.775833,5.777416,0.7353048324584961,,0.8016729354858398,0.0704498291015625,0.2184600830078125
viberwhisper,30,f448b2d0296b525a1a2bd9871b5dfe157837b77e,middle_merge,incremental,38.844792000000005,9.813291999999999,8.008750000000001,5.861542,0.8016729354858398,0.8954906463623047,0.7922239303588867,0.0704498291015625,0.3051605224609375
viberwhisper,31,47aa14a31e08daa17ee6c2f9465a0327463b0fab,incremental,incremental,26.583209,8.989208999999999,8.581667,5.627792,0.7922239303588867,,1.0116996765136719,0.0704498291015625,0.509699821472168
viberwhisper,32,753674caaceb5c4961ef66eed5704e1d649b7944,incremental,incremental,26.079083,7.459375,8.112665999999999,5.762417,1.0116996765136719,,1.0636177062988281,0.0704498291015625,0.5587844848632812
viberwhisper,33,85c0a03404aafa681eeaecbe9b6031ea23e870a9,middle_merge,rebuild,34.959542000000006,9.606666,13.056375000000001,5.822792000000001,1.0636177062988281,1.0731182098388672,0.846949577331543,0.0704498291015625,0.0
viberwhisper,34,82e358202daf483fe9cff04df1576e8c0774c0fe,incremental,incremental,26.864124999999998,6.670375,7.48725,5.545625,0.846949577331543,,0.8652229309082031,0.0704498291015625,0.018273353576660156
viberwhisper,35,bae4d1c33f4aa6861eff871586691f605c8c6607,incremental,incremental,27.501209,8.356667,7.771916999999999,4.35925,0.8652229309082031,,0.9217233657836914,0.0704498291015625,0.09713554382324219
viberwhisper,36,db89a4ffe88c7eb76738fc063783ebfbe83f79ed,incremental,incremental,27.176,7.62725,7.299042,7.021208000000001,0.9217233657836914,,0.9854946136474609,0.0704498291015625,0.15209293365478516
viberwhisper,37,dc25e2ec2895d5ad7e5053e60152b64383bfdc55,incremental,incremental,24.156083,7.60475,7.655875,5.728333,0.9854946136474609,,1.0251407623291016,0.0704498291015625,0.1870098114013672
viberwhisper,38,254eb4f930486011f2a75ccefe50246990566007,middle_merge,incremental,34.924499999999995,7.650375,7.63725,6.978042,1.0251407623291016,1.0372905731201172,1.0335941314697266,0.0704498291015625,0.1991596221923828
viberwhisper,39,34f2e69fafa4addbc26e12e61fd6e32dc450cb78,middle_merge,incremental,38.981167,11.195165999999999,8.665125,4.343708,1.0335941314697266,1.2398195266723633,1.0468549728393555,0.0704498291015625,0.39249324798583984
viberwhisper,40,979ec658d60f051e7b45fd1fabd7e9036f7ea6b5,incremental,incremental,27.966291000000002,7.733084000000001,7.847708999999999,7.085541,1.0468549728393555,,1.0598011016845703,0.0704498291015625,0.4054393768310547
viberwhisper,41,42ca56baa5fa6d860b6c9ba1799da2ac7c398fbf,incremental,rebuild,24.94825,8.00525,15.399875,7.209917,1.0598011016845703,,1.1183156967163086,0.0704498291015625,0.0
viberwhisper,42,f3edc30c20aca6ed8954c34aa9a415b4ffbb894f,middle_merge,incremental,33.015541,7.975375,7.5655,6.948,1.1183156967163086,1.148895263671875,1.1468114852905273,0.0704498291015625,0.030579566955566406
viberwhisper,43,ff77251f22b3f8493e7ac03378f521b96439049b,middle_merge,incremental,35.540915999999996,10.0845,7.390916,6.866083000000001,1.1468114852905273,1.1482553482055664,1.0052833557128906,0.0704498291015625,0.03178882598876953
viberwhisper,44,3de86ad4a38d8fdf89c084771415f85d8a9fbab1,incremental,incremental,29.808292,10.165000000000001,10.279375,7.210667,1.0052833557128906,,1.3263511657714844,0.0704498291015625,0.339630126953125
viberwhisper,45,c52fd04115362f250c37d2d17c649fe4bbac934b,incremental,incremental,24.218083,8.091332999999999,8.757166999999999,5.9810419999999995,1.3263511657714844,,1.4240474700927734,0.0704498291015625,0.4387702941894531
viberwhisper,46,4c1a64d129f070b1540eb3cd785b13d407125559,incremental,incremental,30.603292,9.129792,10.082083,7.460958,1.4240474700927734,,1.6970787048339844,0.0704498291015625,0.6959819793701172
viberwhisper,47,8f3e1fe7c8f2c34c3ed405bd8bddd3a90a0659ad,middle_merge,incremental,33.897209,10.632833,8.440666,6.9530829999999995,1.6970787048339844,1.7412357330322266,1.5906448364257812,0.0704498291015625,0.7314491271972656
viberwhisper,48,de2272627f31807086fcf710177f658c44e7a2b3,incremental,incremental,29.949125,9.682917,9.257041000000001,8.039209,1.5906448364257812,,1.696375846862793,0.0704498291015625,0.8347396850585938
viberwhisper,49,7b5bc5196b60521a341c315b92d7c022d395f995,middle_merge,rebuild,38.560458,13.407792,18.040958,7.239083,1.696375846862793,1.7979536056518555,1.6146249771118164,0.0704498291015625,0.0
viberwhisper,50,56db8d28b68cc2c12237e0c97c45bd9fa2ee524e,incremental,incremental,26.391875,8.077083,8.5395,7.051792000000001,1.6146249771118164,,1.751800537109375,0.0704498291015625,0.14084243774414062
viberwhisper,51,374f74107531cc6f795d126d70ebbe6463705237,incremental,incremental,30.992042,9.500333,9.027917,6.236833,1.751800537109375,,1.9593925476074219,0.0704498291015625,0.34378528594970703
viberwhisper,52,af21e4556172b01b41f88f4a39d09a9efeedd8d7,middle_merge,incremental,38.2355,13.230042,8.400708,6.24325,1.9593925476074219,2.0464086532592773,1.7588281631469727,0.0704498291015625,0.43790245056152344
viberwhisper,53,ec93ed760bd0960128e2b954b477d7a581a2eb97,incremental,incremental,26.86775,8.885499999999999,9.282625,6.293333,1.7588281631469727,,1.9700088500976562,0.0704498291015625,0.6196050643920898
viberwhisper,54,1266f10811bff33bff97f7c5e8d0eb3cb7eb38d9,incremental,incremental,25.85,7.752667000000001,9.144167,6.0693340000000005,1.9700088500976562,,2.0560131072998047,0.0704498291015625,0.702545166015625
viberwhisper,55,9c571985fa7ba708d1307ebb8ae0f3c4b709ecaa,middle_merge,incremental,41.257292,14.544042,8.858167,5.884792,2.0560131072998047,2.2114458084106445,1.993525505065918,0.0704498291015625,0.848841667175293
viberwhisper,56,569710ed018e432965adc02276f4094030cad233,incremental,incremental,27.420125,8.824209,8.895625,7.491916000000001,1.993525505065918,,2.114156723022461,0.0704498291015625,0.9607963562011719
viberwhisper,57,bbfe83629f435a263a4b632554ce761e9baf690b,incremental,rebuild,26.78875,8.880667,16.772624999999998,6.437416,2.114156723022461,,2.2159032821655273,0.0704498291015625,0.0
viberwhisper,58,e0502a5585cadfcd7bd29e51a32fefec3cc567c8,middle_merge,incremental,39.730542,12.792583,9.909167,7.184416,2.2159032821655273,2.549713134765625,1.935317039489746,0.0704498291015625,0.3341856002807617
viberwhisper,59,35248a50ff06e7638aa6026f703fe1fb2b0a77d6,incremental,incremental,26.240625,7.6438749999999995,8.170167000000001,5.681625,1.935317039489746,,1.9746360778808594,0.0704498291015625,0.3663206100463867
viberwhisper,60,ca60c703e810db2823f569ca71f787be5d7d58d3,incremental,incremental,26.196334,8.941584,9.173542,6.448665999999999,1.9746360778808594,,2.1291751861572266,0.0704498291015625,0.510828971862793
viberwhisper,61,e3220d298ce06375f52a6937c74c82ba5ed03e4e,middle_merge,incremental,37.349000000000004,10.9515,8.862916,6.408542,2.1291751861572266,2.1699962615966797,2.0911359786987305,0.0704498291015625,0.5436372756958008
viberwhisper,62,b476fc8d9bc816100e5e7fa7e6f513dbe55c862a,incremental,incremental,25.976167,8.615,9.733459,7.626125,2.0911359786987305,,2.31954288482666,0.0704498291015625,0.7583608627319336
viberwhisper,63,9bc90f50b8fd806e9081476691967b52390e48a7,incremental,incremental,31.509292000000002,12.052916999999999,11.351291,7.231333,2.31954288482666,,2.829501152038574,0.0704498291015625,1.2599411010742188
viberwhisper,64,cb96c069058fc3db3f4ddeadaa9ef539ddfed139,middle_merge,incremental,38.752167,14.055666,8.232375,6.49175,2.829501152038574,2.837808609008789,2.122303009033203,0.0704498291015625,1.2682485580444336
viberwhisper,65,4e086f46b2302c960ea6c69a6032a6f15ffe7977,incremental,rebuild,29.185875,9.718375,19.474249999999998,8.281958000000001,2.122303009033203,,2.3591203689575195,0.0704498291015625,0.0
viberwhisper,66,4d4a0cc602e4dae02eef44d88598a8709b2e1581,incremental,incremental,30.208917,9.260708,10.281749999999999,6.85175,2.3591203689575195,,2.656524658203125,0.0704498291015625,0.30072975158691406
viberwhisper,67,4559c6ff17a06516692153b4fa5a1fcea60c03c7,middle_merge,incremental,42.395083,17.596375000000002,10.014208,7.408375,2.656524658203125,2.955068588256836,2.26706600189209,0.0704498291015625,0.5977640151977539
viberwhisper,68,d373db6ab330c00ae86b23a60f275decadb9911b,incremental,incremental,25.166166999999998,8.188542,8.459125,7.395208,2.26706600189209,,2.292119026184082,0.0704498291015625,0.6179752349853516
viberwhisper,69,826ae97a3c3e04c66a09f3e762c3883553abb562,incremental,incremental,26.226665999999998,8.300625,9.115875,6.464583,2.292119026184082,,2.360337257385254,0.0704498291015625,0.6832180023193359
viberwhisper,70,9c7d55374267697e8f4220655e4ea4e4ab688200,middle_merge,incremental,35.095042,8.955375,9.038542,6.6015,2.360337257385254,2.4617347717285156,2.459761619567871,0.0704498291015625,0.7846155166625977
viberwhisper,71,a6957c2b468a64428cfe9fe0ef5d0f11a83dc9f1,middle_merge,incremental,36.776917,10.726792000000001,8.791958000000001,6.107457999999999,2.459761619567871,2.500751495361328,2.4615488052368164,0.0704498291015625,0.8356723785400391
viberwhisper,72,b2aa6bb5747afab99bda5685d036d7c130391fb2,incremental,incremental,29.673708,9.575958,10.115458,6.802584,2.4615488052368164,,2.655472755432129,0.0704498291015625,1.035390853881836
viberwhisper,73,5d7d70b0fef11cc1cc6f1d18b400508af48372f0,incremental,rebuild,27.496917,9.348125000000001,20.227708,7.180625,2.655472755432129,,2.815812110900879,0.0704498291015625,0.0
viberwhisper,74,50bdb4085e1e843a4c44f3654d3bf1f6a652442e,middle_merge,incremental,41.334999999999994,13.594167,9.091125,6.528125,2.815812110900879,2.9825096130371094,2.604355812072754,0.0704498291015625,0.16275787353515625
viberwhisper,75,650ab9c64e587f6d102904305a3c18fda7138917,incremental,incremental,27.274209,8.957291,9.179417,7.460417,2.604355812072754,,2.778164863586426,0.0704498291015625,0.3289213180541992
viberwhisper,76,4cf7e0b3725e28a017b9a52f8e71fc8be1fb631f,incremental,incremental,29.17825,10.272375,9.799583,8.235583,2.778164863586426,,3.0421457290649414,0.0704498291015625,0.5952224731445312
viberwhisper,77,9714dda3f044e460784644b84853fec371e44632,middle_merge,incremental,41.74075,16.513084,9.018,6.571292000000001,3.0421457290649414,3.189337730407715,2.819063186645508,0.0704498291015625,0.7476329803466797
viberwhisper,78,a8795abdb1dbc28238143f5e3eae9137c86925e3,incremental,incremental,30.622833,11.216584,12.478042,8.558875,2.819063186645508,,3.2169065475463867,0.0704498291015625,1.1304292678833008
viberwhisper,79,c139d1b72e2d95045ca62dd1b697137b602e6e13,incremental,incremental,29.694583,11.510833,11.006083,6.3790000000000004,3.2169065475463867,,3.5537595748901367,0.0704498291015625,1.4747467041015625
viberwhisper,80,d723bb05825613cd3bb825fea0eca8309925ca1a,middle_merge,incremental,48.560667,21.148375,12.400917,8.984375,3.5537595748901367,4.022863388061523,3.1144399642944336,0.0704498291015625,1.9531526565551758
