project,id,family,category,pattern,flags,baseline,old_ms,new_ms,change_pct,saved_ms,ci_low_pct,ci_high_pct,median_faster,at_least_5pct_faster,interval_supports_gain,clear_gain,clear_regression,interval_inconclusive
vllm,logger,alternation,group / alternation,logger\.(warning|error)\(,,chromium_all,9.548084,9.117041,-4.514444992314681,0.43104299999999895,-6.299681397738954,-1.7894848279412012,True,False,True,False,False,False
vllm,exceptions,alternation,group / alternation,\b(ValueError|RuntimeError|NotImplementedError)\b,,hash,22.07075,21.903833,-0.7562815038002824,0.16691700000000154,-2.725389925266697,1.3054526784186171,True,False,False,False,False,True
vllm,exceptions,alternation,group / alternation,\b(ValueError|RuntimeError|NotImplementedError)\b,,english,21.788417,21.903833,0.5297126450260148,-0.11541599999999974,-3.171700843187153,2.0741093291946955,False,False,False,False,False,True
vllm,exceptions,alternation,group / alternation,\b(ValueError|RuntimeError|NotImplementedError)\b,,chromium_all,22.271084,21.903833,-1.6490037036365202,0.36725099999999955,-3.6414083959934618,2.5196010291753,True,False,False,False,False,True
vllm,cache,alternation,group / alternation,\b(kv_cache|block_size)\b,,hash,18.936208,18.274416,-3.494849655221377,0.6617920000000019,-6.486682036785041,-1.7798700428663716,True,False,True,False,False,False
vllm,cache,alternation,group / alternation,\b(kv_cache|block_size)\b,,english,18.037416,18.274416,1.3139354328801867,-0.23699999999999832,-2.100253722465528,4.291142280040106,False,False,False,False,False,True
vllm,cache,alternation,group / alternation,\b(kv_cache|block_size)\b,,chromium_all,17.772125,18.274416,2.8262855454820324,-0.5022909999999996,0.5279841324546286,4.659804244979182,False,False,False,False,False,False
vllm,tensor_creation,alternation,two alternative groups,\b(torch|numpy)\.(empty|zeros|ones)\b,,hash,18.300458,18.641709,1.8647128940707303,-0.34125099999999975,-1.632988586105144,3.9568394830647335,False,False,False,False,False,True
vllm,tensor_creation,alternation,two alternative groups,\b(torch|numpy)\.(empty|zeros|ones)\b,,english,18.470875,18.641709,0.9248830929774465,-0.17083399999999926,-2.260552926320336,4.401308379189817,False,False,False,False,False,True
vllm,tensor_creation,alternation,two alternative groups,\b(torch|numpy)\.(empty|zeros|ones)\b,,chromium_all,18.365583,18.641709,1.503497057512404,-0.2761259999999979,-3.069735087977732,4.478329550661009,False,False,False,False,False,True
