dataset,query,pattern,before_ms,after_ms,before_no_refresh_ms,after_no_refresh_ms,rg_ms
few_large_64,rare_lines,CODERG_BENCHMARK_NEEDLE,6.721458,6.679458,5.686375,5.781875,8.35625
few_large_64,common_files,ordinary_value,16.242209,16.254417,15.256459,15.104334,7.745458
few_large_64,common_count,ordinary_value,15.855583,16.211208,15.117833,15.142875,9.979875
few_large_64,alternation,\b(module_7|module_23)\b,12.465375,12.42975,11.502209,11.286083,11.026333
few_large_64,ignore_case,coderg_benchmark_needle,7.042625,7.207541,6.288458,6.123958,9.285916
few_large_64,short_files,fn,16.091917,15.739417,14.766875,15.025083,7.60675
few_large_64,absent,CODERG_WIDE_ABSENT_92be7,6.408292,6.188208,5.438125,5.184042,8.496667
shared_anchor,rare_files,CODERG_BENCHMARK_NEEDLE,6.729,6.735541,4.807209,4.819834,10.097166
shared_anchor,rare_lines,CODERG_BENCHMARK_NEEDLE,6.884416,6.609875,4.7875,4.725458,10.343125
shared_anchor,common_files,ordinary_value,15.303917,15.191208,13.382334,13.598541,12.909
shared_anchor,common_count,ordinary_value,15.045083,15.086625,13.670958,13.32275,14.182625
shared_anchor,alternation,\b(module_7|module_23)\b,7.165792,7.087375,5.256041,5.054375,10.13675
shared_anchor,ignore_case,coderg_benchmark_needle,7.046917,6.889541,5.442041,5.530583,10.441333
shared_anchor,short_files,fn,10.193166,10.221334,8.6685,8.585792,10.7495
shared_anchor,absent,CODERG_WIDE_ABSENT_92be7,6.677292,6.52925,4.81875,5.131625,10.379208
