repo,step,commit,reference_event,main_ms,rough_ms,direct_ms,direct_b_bytes,direct_m_bytes,direct_segments
vllm,11,2a336d8239d00565a99752cfa248f2326e2ac8aa,incremental,,62.884083,67.23750000000001,63384504,5602591,9
vllm,12,cee0f92c02112ace7120da45896d27e0fe95ea1e,middle_merge,,73.705584,73.34995900000001,63384504,5846679,7
vllm,13,e41011129bd54c9e8e12b645ea9b964027d2363f,incremental,,55.765457999999995,63.380583,63384504,6020926,8
vllm,14,6fdee17f849b1aad5b4d88ff13b475d2e73d8c1a,incremental,,60.0245,63.292874999999995,63384504,6088415,9
vllm,15,c7e6e36fa93a5b8cb95b74fa96e4abdf2f0be51d,middle_merge,,71.813416,73.82016700000001,63384504,6211167,8
vllm,16,9509fc8ae61a8eb871a984e759a6d228c930df80,incremental,,60.232167000000004,59.784875,63384504,6327374,9
vllm,17,bc2ee480738d7dcc558262a0c6d81956b515b050,middle_merge,,72.833042,74.267042,63384504,6188117,7
vllm,18,579aef4e8dfa2c9d498a702dd04c5ec5db333266,incremental,,57.959666999999996,62.79920799999999,63384504,6317179,8
vllm,19,d6bce42983bc0b2095ad6422dbf1399e219ae572,incremental,,61.264167,61.199083,63384504,6712345,9
vllm,20,560ef78bfe734ea894f8a866e50406574021b9f5,middle_merge,,85.943916,86.93495800000001,63384504,7100267,7
vllm,21,19c018ec05a3be91e2246be6b6f98971e00d6a1c,incremental,,59.821167,62.694250000000004,63384504,7217499,8
vllm,22,d9e2b5238d4a42341db3374226890a801357c646,incremental,,62.179167,65.490042,63384504,7507017,9
vllm,23,7dc30f5a663d1d3fcadf73ffd297682b56a69197,middle_merge,,69.99766699999999,68.64975,63384504,7575780,9
vllm,24,25268f0c9c173aa6557a3eebf7d7a87fa91fec3a,middle_merge,,81.94512499999999,80.523542,63384504,8020497,8
vllm,25,a26b71d868102dea759d469eaf6f08be0765d831,incremental,,62.573249999999994,61.645709,63384504,8418989,9
vllm,26,69cf055936066779cbd54c237739e9ac657ed86b,middle_merge,,77.961209,81.796291,63384504,7906200,7
vllm,27,8a0a7ee40a5915dd7330c8f6e6c58ca565566471,incremental,,55.629333,65.954125,63384504,8344138,8
vllm,28,156050598eea0bb1124b9c106b22ba4a8c56f82a,incremental,,60.367292000000006,57.887125,63384504,8446335,9
vllm,29,e35298628fceb490d4ca2a21c0a6e8f63d3c6740,middle_merge,,70.52725,70.59325,63384504,8516435,8
vllm,30,78300cdabffbaaffe7625ed34412ec2aec75535c,incremental,,59.969292,64.35429199999999,63384504,8623786,9
vllm,31,da55494a125979ffc9d4c1f17d593175cb076bf4,middle_merge,,73.232333,69.632625,63384504,8748603,8
vllm,32,8a728663c1c3eeace834a95f5654fa653cc1998c,incremental,,56.934917,64.959709,63384504,8900647,9
vllm,33,ae2d1ca96fa2a98f92c775acfe8a154748495a27,middle_merge,,82.253042,81.577708,63384504,9225899,7
vllm,34,e862c2f45bc81c72bb84f3807d88d60cfb93d694,incremental,,58.066458000000004,57.813125,63384504,9321074,8
vllm,35,29af8bd672d5a780abd7399c0cc624078202e89d,incremental,,60.466417,60.504875,63384504,9355957,9
vllm,36,8f816a3f665489d7f0d222115d4f72ebab01076b,middle_merge,,67.27575,73.160667,63384504,9563427,9
vllm,37,a5c9179e731e8d2ec7e03485a3ab0754a5a27182,middle_merge,,74.11987500000001,70.03108399999999,63384504,9676987,8
vllm,38,a8693df504404ea0288e480165143d8a216f4220,incremental,,59.723084,61.735875,63384504,9693754,9
vllm,39,605ca45b917ac0614958c63851c31a3f1c82e20d,middle_merge,,69.39654200000001,72.521,63384504,9721132,9
vllm,40,9cd956c7e6cf54efa366b803cafa15ec6c2df827,middle_merge,,69.569334,62.66179199999999,63384504,9752489,9
vllm,41,fd4a1512628ad17944095263c1fe89598710a3ce,middle_merge,,66.390542,74.224791,63384504,9878979,9
vllm,42,3ff4f02dfe69abc1a0375d1ea8d8d5cb25609fcc,middle_merge,,72.587334,70.53941699999999,63384504,9924426,9
vllm,43,c615b1fd67f5b149c75aea592de8e563cb0c2da9,middle_merge,,83.424875,83.209667,63384504,9917787,7
vllm,44,8b6de0eb9a09ef53f20cf06bd4d17ee264b9c2a7,incremental,,60.063792,61.9735,63384504,10092122,8
vllm,45,8340fe1bb99c187ebec08ad03bbe0d06b45d1d40,incremental,,58.867958,64.813,63384504,10202474,9
vllm,46,31a8a266622781917cef482d01db415cfa3cbd92,middle_merge,,68.410958,69.25070799999999,63384504,10359438,8
vllm,47,07ee97e0230e0ff8759cdc95a1bb09ba2e462720,incremental,,58.211459,60.848416,63384504,10386098,9
vllm,48,a69e75b9b6d6a26d90b6790e2eb75b3419a47c16,middle_merge,,91.129125,94.50687500000001,63384504,10215937,7
vllm,49,a85d0738da311ce4ad5814787e61a12826e232df,incremental,,57.6655,57.140417,63384504,10285412,8
vllm,50,f19431e5c8634cd0d1641d3f7f4a01043f0eddab,incremental,,57.403957999999996,61.362041,63384504,10359311,9
vllm,51,5e729d84eb4c91411172f2245c37cf05579ea5b9,middle_merge,,69.270708,69.058875,63384504,10461689,8
vllm,52,131e0285f60faad78a13ae79573b7b38ddb52a85,incremental,,68.723709,55.49675,63384504,10482721,9
vllm,53,6a039f465e3770192085e551f642c7a218797d2d,middle_merge,,74.321708,75.406917,63384504,10649302,8
vllm,54,99a1ab8e4c9fa21cafdd460ac826a445052ac1eb,incremental,,61.520375,60.710542,63384504,10709561,9
vllm,55,8ad2076c4a0e2a7e5ccf5b11455f737430ad12db,middle_merge,,67.464334,71.152666,63384504,11216252,9
vllm,56,761c5861e34edb52c290e3171feb3763732ba8ca,middle_merge,,75.575166,75.960417,63384504,11385138,9
vllm,57,1ff5edb02327583cd9c88f6bda3c485dbd504938,middle_merge,,76.77449999999999,75.67483299999999,63384504,11261490,8
vllm,58,8cd95f7de70df6ff15002168a048891c708428fd,incremental,,61.917125000000006,59.120375,63384504,11524837,9
vllm,59,701a7444909d1ef1521f71abca56ed3448cc89fb,middle_merge,,65.619625,68.119875,63384504,11540975,9
vllm,60,a11dfcff8921247c119b9356ae1c4bbd3a7f7f57,middle_merge,,66.914416,71.836917,63384504,11562609,9
vllm,61,5690b02c03832a4ac3af231d3ecebe649c188095,middle_merge,,88.288541,87.493,63384504,12134708,8
vllm,62,25240513856e9aca9b07e9381f2a4513b6954bd8,incremental,,57.588,59.519959,63384504,12162729,9
vllm,63,3284af6bf1be8429c332bd5fafba579c2d7557da,middle_merge,,64.574792,71.805041,63384504,12306889,9
vllm,64,c81ace18596f75660bbc04efc2075a5f17a76791,middle_merge,,68.39345800000001,67.215,63384504,12324927,8
vllm,65,5093e4844a75f279d1921d7e34ccd23d68529f27,incremental,,60.013125,62.658125,63384504,12392849,9
vllm,66,784cac7c424db2f2fdc879b672abad7e231f5698,middle_merge,,69.697833,79.344375,63384504,12760309,9
vllm,67,3f41d102c5b8636f7206a5fd5949dd8ae0b30a0d,middle_merge,,78.018583,78.66337499999999,63384504,13298537,8
vllm,68,8f269a93bbcca6e2737616d76365a5ac771c4d27,incremental,,61.715166,64.089291,63384504,13603251,9
vllm,69,685074cd61d6b8432575d11b38341559992cf9dd,middle_merge,,73.166167,76.042708,63384504,13898746,9
vllm,70,eb74fbb3e7f0a917e93fff90ef68da23dbd2b34b,middle_merge,,94.638666,96.61254199999999,63384504,13394269,7
vllm,71,874df9373dab532543a0229fb2f144f7c14093ae,incremental,,57.045917,64.414875,63384504,13471543,8
vllm,72,8277c42e4c74c5dd604f29b6d938a3456658f247,incremental,,72.396958,79.59741700000001,63384504,14824600,9
vllm,73,6cbb3c154ef1449d2b3c9131a237f36faa695734,middle_merge,,69.020083,67.091083,63384504,14906139,9
vllm,74,385ba6b5b003238e559d9c1f18e0f1984320ee61,middle_merge,,74.183291,79.282916,63384504,15299390,9
vllm,75,16328c7a775ff20d17d9750096a094e8cf2b45f2,middle_merge,,93.45908299999999,104.38779199999999,63384504,14862130,7
vllm,76,a7f9be9612861d6425738dd0ba1c7fd5805e6c95,incremental,,66.419792,60.487333,63384504,15033872,8
vllm,77,ea5f41edd7f157a7c24bc86b59d8ae3b55b6dcf5,incremental,,59.993792,63.960792000000005,63384504,15115309,9
vllm,78,d4ef5e53fcfd5ffa47f213121c7f181468120d8b,middle_merge,,68.79025,72.963375,63384504,15102995,8
vllm,79,d87a440f88e28e5b37f9b1e22ce214d0426d5352,base_merge,,786.6329159999999,875.404042,64303679,0,1
vllm,80,4ee2595512c830b2a0566bbaa9815cf617694171,incremental,,59.749541,58.690208,64303679,22857,2
vllm,81,e962733e08d10f7ca65dac4df99e116460b8b174,incremental,,58.584875000000004,61.751458,64303679,257431,3
vllm,82,8369affa5428ca29a30f378d660fbffbad12e240,incremental,,60.365458,58.078916,64303679,375601,4
vllm,83,32601ef7a1ce8aaa6d777778435ec499248906fb,incremental,,59.211459,60.791584,64303679,478438,5
vllm,84,e473e9036f979d546830aece9855027049faf0ba,incremental,,57.973667,63.185334,64303679,725066,6
vllm,85,2902ca17e335457a0fa214638936d154907a2e18,incremental,,61.636416,62.298125000000006,64303679,911409,7
vllm,86,7fbd44cbe0a90b9c8fd3a94a0f0401ac4b1bc719,incremental,,61.284209,61.703041,64303679,995692,8
vllm,87,bc96d76aa9946f3af81fabe508ae396088974b98,incremental,,56.497749999999996,61.190291,64303679,1033298,9
vllm,88,28e605fb330093fee5a2b98aebc19d9c268c1822,middle_merge,,66.702416,67.385625,64303679,1158574,8
vllm,89,52bc900d930c279743ef62a27b65c6ff42f1453a,incremental,,58.226583,62.539666,64303679,1271531,9
vllm,90,7985444339e2ad7e249b88a50081e16e34637dfd,middle_merge,,71.939042,71.8935,64303679,1292211,7
vllm,91,f4eccdadefc6501fafeb1a0bf7f171ff24f984b0,incremental,,58.735,58.170417,64303679,1434592,8
vllm,92,039ea82660621a9668c7d7e81c7144b6f2f75011,incremental,,59.603583,63.159583000000005,64303679,1880867,9
vllm,93,1c344ed41e1e3bd44d5836fbcf5ddceb56ef5ab9,middle_merge,,75.10183400000001,74.781042,64303679,2205072,7
vllm,94,f2e2936f91a794513af74d009286c69e3fb2592b,incremental,,60.308875,56.772625,64303679,2207676,8
vllm,95,1970f3ed4be7fa8620e4ddc4a12c36a8384cfc27,incremental,,59.921457999999994,62.740667,64303679,2278358,9
vllm,96,144e79c8106da23141ac010394b782f730cc7fe8,middle_merge,,76.922917,75.412,64303679,2912564,8
vllm,97,a1541f5742a29864a80087af313ad460066a1524,incremental,,62.871459,60.347708,64303679,2961250,9
vllm,98,9afb878a55eb08fd064dfaab56afd8447e97101e,middle_merge,,68.860333,71.730583,64303679,3008352,9
vllm,99,dd0760165c17fdf750b1aa8e2a26ac885eafd598,middle_merge,,75.624167,74.678959,64303679,3042329,8
vllm,100,569adb5a9780f9c02d22a6b29826acf711512356,incremental,,62.486332999999995,62.75641699999999,64303679,3542546,9
