experiment,step,commit,changed_files,target_source_bytes,variant,wall_ms,base_mib,middle_mib,segments,base_merged
baseline-100.json,20,560ef78bfe734ea894f8a866e50406574021b9f5,10,574356,main,78.061833,60.960659980773926,1.1566839218139648,5,False
baseline-100.json,20,560ef78bfe734ea894f8a866e50406574021b9f5,10,574356,manual,85.14770800000001,60.44817352294922,6.7713422775268555,7,False
baseline-100.json,21,19c018ec05a3be91e2246be6b6f98971e00d6a1c,2,66628,manual,56.464167,60.44817352294922,6.883143424987793,8,False
baseline-100.json,21,19c018ec05a3be91e2246be6b6f98971e00d6a1c,2,66628,main,76.553042,60.960659980773926,1.2684850692749023,6,False
baseline-100.json,22,d9e2b5238d4a42341db3374226890a801357c646,6,240682,main,76.52025,60.960659980773926,1.544590950012207,7,False
baseline-100.json,22,d9e2b5238d4a42341db3374226890a801357c646,6,240682,manual,67.2695,60.44817352294922,7.159249305725098,9,False
baseline-100.json,23,7dc30f5a663d1d3fcadf73ffd297682b56a69197,2,61361,manual,64.304583,60.44817352294922,7.224826812744141,9,False
baseline-100.json,23,7dc30f5a663d1d3fcadf73ffd297682b56a69197,2,61361,main,75.880083,60.960659980773926,1.6136808395385742,8,False
baseline-100.json,24,25268f0c9c173aa6557a3eebf7d7a87fa91fec3a,9,605210,main,844.052959,60.98651695251465,0.0,1,False
baseline-100.json,24,25268f0c9c173aa6557a3eebf7d7a87fa91fec3a,9,605210,manual,78.25616600000001,60.44817352294922,7.648941993713379,8,False
baseline-100.json,25,a26b71d868102dea759d469eaf6f08be0765d831,2,385742,manual,59.628583,60.44817352294922,8.028973579406738,9,False
baseline-100.json,25,a26b71d868102dea759d469eaf6f08be0765d831,2,385742,main,84.23,60.98651695251465,0.3800315856933594,2,False
baseline-100.json,26,69cf055936066779cbd54c237739e9ac657ed86b,1,12135,main,73.102125,60.98651695251465,0.41048431396484375,3,False
baseline-100.json,26,69cf055936066779cbd54c237739e9ac657ed86b,1,12135,manual,82.249292,60.44817352294922,7.539939880371094,7,False
baseline-100.json,27,8a0a7ee40a5915dd7330c8f6e6c58ca565566471,28,248676,manual,60.319625,60.44817352294922,7.957590103149414,8,False
baseline-100.json,27,8a0a7ee40a5915dd7330c8f6e6c58ca565566471,28,248676,main,79.00429100000001,60.98651695251465,0.8281345367431641,4,False
baseline-100.json,28,156050598eea0bb1124b9c106b22ba4a8c56f82a,2,71862,main,74.94666699999999,60.98651695251465,0.9255971908569336,5,False
baseline-100.json,28,156050598eea0bb1124b9c106b22ba4a8c56f82a,2,71862,manual,63.838958,60.44817352294922,8.055052757263184,9,False
baseline-100.json,29,e35298628fceb490d4ca2a21c0a6e8f63d3c6740,2,47024,manual,66.284625,60.44817352294922,8.121905326843262,8,False
baseline-100.json,29,e35298628fceb490d4ca2a21c0a6e8f63d3c6740,2,47024,main,77.136292,60.98651695251465,1.0079107284545898,6,False
baseline-100.json,30,78300cdabffbaaffe7625ed34412ec2aec75535c,4,63796,main,75.322583,60.98651695251465,1.1104612350463867,7,False
baseline-100.json,30,78300cdabffbaaffe7625ed34412ec2aec75535c,4,63796,manual,63.329584,60.44817352294922,8.224283218383789,9,False
baseline-100.json,31,da55494a125979ffc9d4c1f17d593175cb076bf4,1,105961,manual,70.141333,60.44817352294922,8.343317985534668,8,False
baseline-100.json,31,da55494a125979ffc9d4c1f17d593175cb076bf4,1,105961,main,77.50475,60.98651695251465,1.2791461944580078,8,False
baseline-100.json,32,8a728663c1c3eeace834a95f5654fa653cc1998c,3,84745,main,834.910833,61.09295845031738,0.0,1,False
baseline-100.json,32,8a728663c1c3eeace834a95f5654fa653cc1998c,3,84745,manual,63.858416,60.44817352294922,8.48831844329834,9,False
baseline-100.json,33,ae2d1ca96fa2a98f92c775acfe8a154748495a27,10,538668,manual,83.824416,60.44817352294922,8.798502922058105,7,False
baseline-100.json,33,ae2d1ca96fa2a98f92c775acfe8a154748495a27,10,538668,main,79.652833,61.09295845031738,0.5713014602661133,2,False
baseline-100.json,34,e862c2f45bc81c72bb84f3807d88d60cfb93d694,1,51226,main,72.215209,61.09295845031738,0.6620674133300781,3,False
baseline-100.json,34,e862c2f45bc81c72bb84f3807d88d60cfb93d694,1,51226,manual,65.179875,60.44817352294922,8.88926887512207,8,False
baseline-100.json,35,29af8bd672d5a780abd7399c0cc624078202e89d,1,9712,manual,55.89575,60.44817352294922,8.92253589630127,9,False
baseline-100.json,35,29af8bd672d5a780abd7399c0cc624078202e89d,1,9712,main,76.71654099999999,61.09295845031738,0.6953344345092773,4,False
baseline-100.json,36,8f816a3f665489d7f0d222115d4f72ebab01076b,3,144116,main,75.58624999999999,61.09295845031738,0.89874267578125,5,False
baseline-100.json,36,8f816a3f665489d7f0d222115d4f72ebab01076b,3,144116,manual,71.833667,60.44817352294922,9.120394706726074,9,False
baseline-100.json,37,a5c9179e731e8d2ec7e03485a3ab0754a5a27182,4,110991,manual,69.674959,60.44817352294922,9.228693962097168,8,False
baseline-100.json,37,a5c9179e731e8d2ec7e03485a3ab0754a5a27182,4,110991,main,78.422583,61.09295845031738,1.0670490264892578,6,False
baseline-100.json,38,a8693df504404ea0288e480165143d8a216f4220,1,4208,main,73.28233300000001,61.09295845031738,1.0830392837524414,7,False
baseline-100.json,38,a8693df504404ea0288e480165143d8a216f4220,1,4208,manual,60.867542,60.44817352294922,9.244684219360352,9,False
baseline-100.json,39,605ca45b917ac0614958c63851c31a3f1c82e20d,1,10645,manual,65.775375,60.44817352294922,9.270793914794922,9,False
baseline-100.json,39,605ca45b917ac0614958c63851c31a3f1c82e20d,1,10645,main,78.930125,61.09295845031738,1.1131458282470703,8,False
baseline-100.json,40,9cd956c7e6cf54efa366b803cafa15ec6c2df827,1,13238,main,831.7577080000001,61.11036777496338,0.0,1,False
baseline-100.json,40,9cd956c7e6cf54efa366b803cafa15ec6c2df827,1,13238,manual,73.637834,60.44817352294922,9.300698280334473,9,False
baseline-100.json,41,fd4a1512628ad17944095263c1fe89598710a3ce,5,84883,manual,65.694416,60.44817352294922,9.4213285446167,9,False
baseline-100.json,41,fd4a1512628ad17944095263c1fe89598710a3ce,5,84883,main,76.50762499999999,61.11036777496338,0.1345844268798828,2,False
baseline-100.json,42,3ff4f02dfe69abc1a0375d1ea8d8d5cb25609fcc,2,45690,main,73.938833,61.11036777496338,0.2048044204711914,3,False
baseline-100.json,42,3ff4f02dfe69abc1a0375d1ea8d8d5cb25609fcc,2,45690,manual,72.557708,60.44817352294922,9.464670181274414,9,False
baseline-100.json,43,c615b1fd67f5b149c75aea592de8e563cb0c2da9,19,471595,manual,87.90287500000001,60.44817352294922,9.458338737487793,7,False
baseline-100.json,43,c615b1fd67f5b149c75aea592de8e563cb0c2da9,19,471595,main,79.30375000000001,61.11036777496338,0.7331161499023438,4,False
baseline-100.json,44,8b6de0eb9a09ef53f20cf06bd4d17ee264b9c2a7,2,106076,main,74.262417,61.11036777496338,0.8993749618530273,5,False
baseline-100.json,44,8b6de0eb9a09ef53f20cf06bd4d17ee264b9c2a7,2,106076,manual,61.39791700000001,60.44817352294922,9.624597549438477,8,False
