repository,files,source_mib,reference_base_mib,commits,main_mean_ms,current_mean_ms,no-sync_mean_ms
viberwhisper,123,1.301767349243164,1.7876806259155273,100,10.75224995,30.40814129,10.32125462
agentflow,114,1.3813295364379883,1.9861621856689453,19,14.15058547368421,34.75032242105263,14.30645405263158
vllm,6835,82.38237380981445,61.3615779876709,100,169.99441333,77.43424073,54.93290801
