project,id,pattern,flags,hash,english,chromium_all,chromium_initial,chromium_all_vs_english_pct,chromium_all_vs_hash_pct,chromium_initial_vs_english_pct,chromium_initial_vs_hash_pct
vllm,wide_icase_tensor_creation,\b(torch|numpy)\.(empty|zeros|ones)\b,-i,23.618042,24.987375,26.236083,26.140333,4.9973556646106365,11.084919740594934,4.614162151886703,10.679509334431692
vllm,wide_icase_async_def,async[ \t]+def[ \t]+\w+,-i,14.11925,13.507542,14.1765,13.946792,4.9524776602582365,0.40547479504933204,3.2518869828426222,-1.2214388158011125
viberwhisper,word_return,\breturn\b,,5.15075,5.470042,5.277916,5.238709,-3.5123313495581954,2.468883172353542,-4.229090014299707,1.7076930544095426
viberwhisper,errors,\b(Error|Result|Exception|ValueError)\b,,5.754375,5.467959,5.776292,5.686208,5.638904754040763,0.38087542087541504,3.9914161755784994,-1.1846117084826746
viberwhisper,todo,\b(TODO|FIXME)\b,-i,4.952583,5.11175,4.872333,4.697083,-4.683660194649574,-1.6203665844671256,-8.112035995500555,-5.158924141200661
viberwhisper,short,if,-F -l,5.784417,5.514083,5.819667,6.03875,5.541882485265459,0.6093958993620197,9.51503631700865,4.396864887161489
viberwhisper,digits,"\b[0-9]{2,4}\b",-c,6.149292,5.750667,5.862291,5.778083,1.9410617933537155,-4.667220226328494,0.47674469761507243,-6.0366136459286786
viberwhisper,absent,CODERG_WIDE_ABSENT_92be7,-F,4.798042,4.603667,4.654917,4.6785,1.1132429865148952,-2.982987643709656,1.6255085348267029,-2.491474647366576
viberwhisper,literal,Transcription,-F,5.206625,5.052125,5.037208,5.292917,-0.2952618947472674,-3.253873670563945,4.766152856471284,1.6573500108035377
viberwhisper,icase_literal,transcription,-i -F,6.153042,5.889791,6.187542,5.892875,5.055374630441034,0.560698269246318,0.052361790087296356,-4.228266278695969
viberwhisper,function,\bfn[ \t]+[a-z_][a-z_0-9]*,,5.870792,5.597417,5.729583,5.843125,2.3611962446249635,-2.4052802415755803,4.389667591319335,-0.4712652057848432
viberwhisper,public,\bpub(?:\([^\n)]*\))?[ \t]+(?:struct|enum|fn)\b,,5.523834,5.712791,5.906958,5.777625,3.398811544129665,6.9358347843182955,1.1348918593381052,4.594471883115969
viberwhisper,impl,^impl(?:<[^\n>]+>)?[ \t]+,,5.052583,5.315708,5.439917,5.260042,2.3366407635633912,7.666059122630942,-1.0471982283451142,4.10599885246814
viberwhisper,use,^use[ \t]+(?:std|crate)::,,5.327583,5.582709,5.42525,5.414875,-2.820476582247078,1.833232818709729,-3.006318258752161,1.63849160116325
viberwhisper,derive,#\[derive\(,,4.955083,4.767917,5.088333,4.896,6.720251212426742,2.6891577800008726,2.686351293447431,-1.1923715505875565
viberwhisper,unwrap,\.(?:unwrap|expect)\(,,5.286625,5.196625,5.2185,5.127458,0.42094628725373173,-1.2886293240016111,-1.330998484593371,-3.0107488236824076
viberwhisper,async,\basync[ \t]+fn[ \t]+\w+,,5.113042,4.911708,4.933042,4.801917,0.4343499247105198,-3.5204091810706717,-2.235291674505069,-6.084929480336743
viberwhisper,common_files,self,-F -l,5.102708,5.115166,4.904833,5.131,-4.111948664031628,-3.877842902239359,0.30955007129778167,0.5544506955914574
agentflow,word_return,\breturn\b,,5.138167,5.245375,5.102125,5.178833,-2.730977289516956,-0.7014563753961256,-1.2685842289636096,0.7914495577897585
agentflow,errors,\b(Error|Result|Exception|ValueError)\b,,4.913417,5.009,5.05275,4.964959,0.8734278299061593,2.835765822440872,-0.8792373727290914,1.0490052035070585
agentflow,todo,\b(TODO|FIXME)\b,-i,4.916542,4.473292,4.684,4.712208,4.710356489135981,-4.729787724787049,5.340943537779341,-4.156051143262873
agentflow,short,if,-F -l,5.338042,5.210542,5.060625,5.152291,-2.877186288873601,-5.196980465871192,-1.1179451197207535,-3.4797590577219095
agentflow,digits,"\b[0-9]{2,4}\b",-c,5.918083,5.642167,6.144209,6.088041,8.89803509892564,3.8209332312507227,7.902531066521079,2.871842115090306
agentflow,absent,CODERG_WIDE_ABSENT_92be7,-F,4.401458,4.323583,4.256333,4.273708,-1.5554228980917073,-3.297202881408845,-1.1535571307408676,-2.9024473254089855
agentflow,literal,review_batch,-F,4.369333,4.435917,4.509666,4.352666,1.6625423784980775,3.211771682313991,-1.8767483701791488,-0.38145410294889714
agentflow,icase_literal,review_batch,-i -F,5.2305,4.858084,4.921042,4.809625,1.295943009630962,-5.916413344804516,-0.9974920153706712,-8.046553866743157
agentflow,function,\bdef[ \t]+[a-z_][a-z_0-9]*,,5.453083,5.532458,5.280541,5.400459,-4.553437188316655,-3.164118352865708,-2.385901528759915,-0.9650320745163921
agentflow,class,^class[ \t]+\w+,,5.079666,5.2335,5.188292,5.137042,-0.8638196235788764,2.1384476853399503,-1.8430877997516082,1.1295230828168634
agentflow,import,^from[ \t]+[\w.]+[ \t]+import\b,,5.590041,5.71125,5.640708,5.681875,-1.2351411687458902,0.9063797564275333,-0.5143357408623372,1.6428144265846933
agentflow,decorator,^[ \t]*@[A-Za-z_][\w.]*,,5.529959,5.676666,5.530208,5.741,-2.580000302994745,0.004502745861234558,1.1333060638057502,3.816321242164711
agentflow,async,\basync[ \t]+def[ \t]+\w+,,5.382042,5.396666,5.346042,5.293,-0.9380606470735797,-0.6688911011842769,-1.920926735136097,-1.6544278175458338
agentflow,db,\b(session|transaction|connection)\b,-i,5.844208,5.884417,5.984458,6.145833,1.7001004517524843,2.399811916345218,4.442513166554973,5.161092829002656
agentflow,test,\bdef[ \t]+test_\w+,,5.048792,4.984458,5.199458,5.207167,4.313407796795565,2.9841989925510903,4.468068544262982,3.136888982552666
agentflow,common_files,self,-F -l,4.790667,4.710292,4.89975,4.723,4.022213484854009,2.276989822085329,0.26979219122720277,-1.4124755488118867
chromium,max_file_size,MAX_FILE_SIZE,-F,62.780709,62.235667,62.206667,62.947,-0.04659707431109439,-0.9143604924882198,1.1429667814117028,0.26487595098678707
chromium,weak_ptr_factory,WeakPtrFactory,-F,134.134375,130.022041,129.317833,132.281333,-0.5416066342167292,-3.5908334459380686,1.7376223158964255,-1.3814818162756648
chromium,icase_weak_ptr_factory,WeakPtrFactory,-i -F,182.207042,150.380291,150.410625,159.1775,0.02017152633386754,-17.45070698200566,5.849974715104134,-12.639216216462145
chromium,bind_once,base::BindOnce,-F,220.942958,221.411583,221.852292,213.665875,0.1990451420962991,0.41156957806276484,-3.4983300760737523,-3.2936478563847293
chromium,histogram,\bUmaHistogram(Boolean|Enumeration)\b,,102.192583,95.61175,92.248875,91.670875,-3.51721937941728,-9.730361742593397,-4.121747588554758,-10.295960519952807
chromium,absent,CODERG_DISTRIBUTION_ABSENT_92be7,-F,56.037666,56.167125,55.778041,55.759958,-0.6927255044654634,-0.46330444954648664,-0.7249204939722365,-0.4955738163684442
