dataset,query,pattern,baseline_ms,cover_ms,baseline_no_refresh_ms,cover_no_refresh_ms,rg_ms
vllm,short_word,\bif\b,102.337791,102.861875,87.335291,88.019375,93.544125
vllm,blank_lines,^[ \t]*$,183.119667,183.712791,168.813834,168.5595,102.21625
vllm,absent_regex,\bCODERG_BENCH_ABSENT_[0-9]{8}\b,24.227583,24.720083,9.554708,9.5065,66.277333
vllm,wide_icase_asyncmock,\basyncmock\b,25.642417,26.334542,10.535458,10.694875,65.580375
vllm,wide_icase_cache,\b(kv_cache|block_size)\b,56.209916,51.163375,40.920292,36.413166,69.959666
vllm,wide_icase_class_attention,class[ \t]+\w*Attention\b,34.289208,34.651208,19.083917,19.633708,66.860125
vllm,wide_icase_def_forward,def[ \t]+forward\b,36.121917,36.241208,20.612,20.891916,68.486709
vllm,wide_icase_config,\bmax_(model_len|num_seqs)\b,41.438083,42.636,26.586792,28.481625,69.913916
vllm,wide_icase_exceptions,\b(ValueError|RuntimeError|NotImplementedError)\b,56.488125,57.368083,42.07275,42.409416,75.661584
vllm,wide_icase_tensor_creation,\b(torch|numpy)\.(empty|zeros|ones)\b,44.47125,45.021916,29.049375,30.352792,73.017584
vllm,wide_icase_async_def,async[ \t]+def[ \t]+\w+,32.0165,31.696,17.241583,17.39225,68.383583
shared_anchor,rare_files,CODERG_BENCHMARK_NEEDLE,8.849167,5.195125,7.044375,3.434625,9.370625
shared_anchor,rare_lines,CODERG_BENCHMARK_NEEDLE,8.681625,5.037625,7.185125,3.531125,9.330708
shared_anchor,common_files,ordinary_value,13.328875,13.435334,11.845166,11.762416,11.577416
shared_anchor,common_count,ordinary_value,13.522375,13.515542,11.720541,11.890417,13.148042
shared_anchor,alternation,\b(module_7|module_23)\b,8.798667,5.393958,7.173333,3.822791,9.33025
shared_anchor,ignore_case,coderg_benchmark_needle,5.423625,5.485667,3.843917,3.932375,9.516166
shared_anchor,short_files,fn,8.755583,8.741458,7.061292,7.214,8.372209
shared_anchor,absent,CODERG_WIDE_ABSENT_92be7,5.059125,5.081875,3.472083,3.421167,9.07575
