dataset,query,category,rg_compatible,matching_lines,baseline_ms,optimized_ms,baseline_no_refresh_ms,optimized_no_refresh_ms,rg_ms,baseline_p95_ms,optimized_p95_ms,change_pct,change_bootstrap_95,baseline_rss_mib,optimized_rss_mib,baseline_no_refresh_rss_mib,optimized_no_refresh_rss_mib,rg_rss_mib
many_small_16384,ignore_case,ignore case,True,169,45.56125,32.749583,21.729708,14.483333,149.928458,48.781042,37.923459,-28.119656506351344,"[-29.472291015261142, -26.2641306199612]",17.75,23.234375,13.0,18.234375,7.59375
many_small_16384,short_files,scan fallback,True,16384,194.502625,177.890791,164.002959,157.371458,237.78425,205.358667,412.225458,-8.540673422787993,"[-9.996697257275356, -5.634343719931634]",16.703125,22.34375,13.09375,18.421875,7.140625
many_small_16384,absent,no matches,True,0,44.056167,31.519208,19.180667,12.638875,149.876541,46.132167,34.117459,-28.45676293173667,"[-29.5414062152921, -26.731951038236843]",15.8125,21.3125,10.34375,15.671875,7.3125
few_large_64,rare_files,selective / files,True,1,8.407083,8.231292,5.403334,4.720167,7.760334,9.205417,9.232917,-2.0909868500168294,"[-8.077324858137935, 2.650795841294329]",10.265625,10.265625,8.6875,8.703125,5.78125
few_large_64,rare_lines,selective / lines,True,1,8.814875,8.587583,5.196625,5.168708,8.041291,9.177958,9.116833,-2.5785050837363044,"[-7.5071905477463785, 12.241981659199297]",10.265625,10.21875,8.65625,8.71875,5.8125
few_large_64,common_files,common / files,True,64,17.093375,16.97625,13.909542,13.907667,7.199041,18.717291,18.695375,-0.6852069880874945,"[-4.272069789643695, 3.004521194021015]",24.765625,26.640625,23.859375,25.390625,5.84375
few_large_64,common_count,common / count,True,64,17.117916,17.217917,13.959041,13.597458,9.511792,18.324583,19.226792,0.5841891033931956,"[-1.923959036356715, 4.238734152351742]",27.671875,24.875,25.140625,22.953125,5.859375
few_large_64,alternation,alternation,True,3,13.811833,13.192334,10.326208,10.46225,10.2305,15.797167,15.205125,-4.485277225694806,"[-7.765950300655722, 2.2430915469050516]",23.28125,22.828125,22.75,22.921875,5.875
few_large_64,ignore_case,ignore case,True,1,8.73675,8.314625,5.354709,5.166084,8.919958,9.853625,9.465625,-4.831602140384028,"[-9.521421941512543, 0.11093013443190802]",11.578125,11.53125,10.421875,10.34375,5.90625
few_large_64,short_files,scan fallback,True,64,17.509916,16.441833,14.088208,13.966833,7.375125,19.053292,18.496334,-6.09987506507742,"[-8.218933447575804, 0.6317060374999128]",25.15625,25.515625,23.125,22.625,5.84375
few_large_64,absent,no matches,True,0,7.432,7.976042,4.9295,4.650292,8.023583,8.435333,8.651583,7.320263724434861,"[-0.4227710863341949, 13.164499442134092]",9.3125,9.28125,7.453125,7.453125,5.65625
